+2, +6, +12
+3, +8, -19
-23, -13, -4
+3, -1, +16
+25, +12, -11
-24, -25, +16
+15, +12, -28
-24, -6, -20
-18, -6, +11
-30, +26, +23
+14, +11, +27
-12, -4, +10
-30, -9, +18
-27, -15, +11
-9, +28, +22
-21, +6, +25
-5, +10, -27
-18, -13, -19
-17, -27, -3
-14, +3, -19
-28, -11, +25
+2, +17, -29
-2, -20, +5
-16, +24, -18
-14, +5, -12
-15, +24, +19
-30, -17, +26
-30, -16, -12
-24, -18, -12
+20, -1, +14
+7, -13, +25
+30, +16, -23
-18, -17, +14
+7, +23, -5
+11, +10, -27
-29, +4, +6
-27, +20, +25
-22, -4, +15
+4, -10, +26
+14, +4, -21
+7, -21, -27
-4, +14, -11
+16, +19, -2
-4, +16, -14
+25, +8, -3
-25, -24, -14
-22, -23, +6
+27, -5, +14
+18, -6, -2
+14, +18, +15
-8, -13, +23
+24, -30, -6
-5, +12, -28
+7, -14, +3
-16, -15, -11
-23, -12, +15
-8, +9, +4
-1, +17, -16
-18, -4, -22
+6, +30, +3
-20, +23, +9
-26, +6, -15
-27, -15, +28
+24, +13, -15
-21, +16, -8
+23, +26, +19
-14, -22, -8
+29, +6, +22
+1, +12, +11
-24, -21, +7
+24, -25, +29
+5, +8, +20
-7, -23, -17
+21, +6, +14
+9, -12, -2
+2, +11, +3
-11, +25, -8
+20, -2, +12
-30, -18, -28
+19, -7, -9
+17, +1, +20
+18, +13, +11
-17, -21, +25
+26, -6, +16
+26, +11, +5
+2, -9, -16
+1, -28, +2
+11, -23, +7
+21, -25, -14
-13, -15, -21
-22, +11, +10
+7, +11, -1
-19, -6, -13
-3, -30, -12
-11, -17, -26
+24, +8, -14
-7, -25, -14
-5, -18, +13
+3, +30, -21
-12, +3, +18
+24, +28, +6
+18, +11, +28
-27, +24, +25
-21, +23, +7
-27, +11, -8
-8, -1, -7
-18, +16, -25
+29, -6, -28
-15, +30, +23
+13, +19, +15
-13, -16, +21
-29, +9, -5
+4, +25, +29
+19, -24, +25
+15, +2, +1
-12, +9, +10
+4, +24, -10
+13, +5, +15
+12, +6, +7
+18, +4, -6
+2, +6, +12
+3, +8, -19
-23, -13, -4
+3, -1, +16
+25, +12, -11
-24, -25, +16
+15, +12, -28
-24, -6, -20
-18, -6, +11
-30, +26, +23
+14, +11, +27
-12, -4, +10
-30, -9, +18
-27, -15, +11
-9, +28, +22
-21, +6, +25
-5, +10, -27
-18, -13, -19
-17, -27, -3
-14, +3, -19
-28, -11, +25
+2, +17, -29
-2, -20, +5
-16, +24, -18
-14, +5, -12
-15, +24, +19
-30, -17, +26
-30, -16, -12
-24, -18, -12
+20, -1, +14
+7, -13, +25
+30, +16, -23
-18, -17, +14
+7, +23, -5
+11, +10, -27
-29, +4, +6
-27, +20, +25
-22, -4, +15
+4, -10, +26
+14, +4, -21
+7, -21, -27
-4, +14, -11
+16, +19, -2
-4, +16, -14
+25, +8, -3
-25, -24, -14
-22, -23, +6
+27, -5, +14
+18, -6, -2
+14, +18, +15
-8, -13, +23
+24, -30, -6
-5, +12, -28
+7, -14, +3
-16, -15, -11
-23, -12, +15
-8, +9, +4
-1, +17, -16
-18, -4, -22
+6, +30, +3
-20, +23, +9
-26, +6, -15
-27, -15, +28
+24, +13, -15
-21, +16, -8
+23, +26, +19
-14, -22, -8
+29, +6, +22
+1, +12, +11
-24, -21, +7
+24, -25, +29
+5, +8, +20
-7, -23, -17
+21, +6, +14
+9, -12, -2
+2, +11, +3
-11, +25, -8
+20, -2, +12
-30, -18, -28
+19, -7, -9
+17, +1, +20
+18, +13, +11
-17, -21, +25
+26, -6, +16
+26, +11, +5
+2, -9, -16
+1, -28, +2
+11, -23, +7
+21, -25, -14
-13, -15, -21
-22, +11, +10
+7, +11, -1
-19, -6, -13
-3, -30, -12
-11, -17, -26
+24, +8, -14
-7, -25, -14
-5, -18, +13
+3, +30, -21
-12, +3, +18
+24, +28, +6
+18, +11, +28
-27, +24, +25
-21, +23, +7
-27, +11, -8
-8, -1, -7
-18, +16, -25
+29, -6, -28
-15, +30, +23
+13, +19, +15
-13, -16, +21
-29, +9, -5
+4, +25, +29
+19, -24, +25
+15, +2, +1
-12, +9, +10
+4, +24, -10
+13, +5, +15
+12, +6, +7
+18, +4, -6
+2, +6, +12
+3, +8, -19
-23, -13, -4
+3, -1, +16
+25, +12, -11
-24, -25, +16
+15, +12, -28
-24, -6, -20
-18, -6, +11
-30, +26, +23
+14, +11, +27
-12, -4, +10
-30, -9, +18
-27, -15, +11
-9, +28, +22
-21, +6, +25
-5, +10, -27
-18, -13, -19
-17, -27, -3
-14, +3, -19
-28, -11, +25
+2, +17, -29
-2, -20, +5
-16, +24, -18
-14, +5, -12
-15, +24, +19
-30, -17, +26
-30, -16, -12
-24, -18, -12
+20, -1, +14
+7, -13, +25
+30, +16, -23
-18, -17, +14
+7, +23, -5
+11, +10, -27
-29, +4, +6
-27, +20, +25
-22, -4, +15
+4, -10, +26
+14, +4, -21
+7, -21, -27
-4, +14, -11
+16, +19, -2
-4, +16, -14
+25, +8, -3
-25, -24, -14
-22, -23, +6
+27, -5, +14
+18, -6, -2
+14, +18, +15
-8, -13, +23
+24, -30, -6
-5, +12, -28
+7, -14, +3
-16, -15, -11
-23, -12, +15
-8, +9, +4
-1, +17, -16
-18, -4, -22
+6, +30, +3
-20, +23, +9
-26, +6, -15
-27, -15, +28
+24, +13, -15
-21, +16, -8
+23, +26, +19
-14, -22, -8
+29, +6, +22
+1, +12, +11
-24, -21, +7
+24, -25, +29
+5, +8, +20
-7, -23, -17
+21, +6, +14
+9, -12, -2
+2, +11, +3
-11, +25, -8
+20, -2, +12
-30, -18, -28
+19, -7, -9
+17, +1, +20
+18, +13, +11
-17, -21, +25
+26, -6, +16
+26, +11, +5
+2, -9, -16
+1, -28, +2
+11, -23, +7
+21, -25, -14
-13, -15, -21
-22, +11, +10
+7, +11, -1
-19, -6, -13
-3, -30, -12
-11, -17, -26
+24, +8, -14
-7, -25, -14
-5, -18, +13
+3, +30, -21
-12, +3, +18
+24, +28, +6
+18, +11, +28
-27, +24, +25
-21, +23, +7
-27, +11, -8
-8, -1, -7
-18, +16, -25
+29, -6, -28
-15, +30, +23
+13, +19, +15
-13, -16, +21
-29, +9, -5
+4, +25, +29
+19, -24, +25
+15, +2, +1
-12, +9, +10
+4, +24, -10
+13, +5, +15
+12, +6, +7
+18, +4, -6
+2, +6, +12
+3, +8, -19
-23, -13, -4
+3, -1, +16
+25, +12, -11
-24, -25, +16
+15, +12, -28
-24, -6, -20
-18, -6, +11
-30, +26, +23
+14, +11, +27
-12, -4, +10
-30, -9, +18
-27, -15, +11
-9, +28, +22
-21, +6, +25
-5, +10, -27
-18, -13, -19
-17, -27, -3
-14, +3, -19
-28, -11, +25
+2, +17, -29
-2, -20, +5
-16, +24, -18
-14, +5, -12
-15, +24, +19
-30, -17, +26
-30, -16, -12
-24, -18, -12
+20, -1, +14
+7, -13, +25
+30, +16, -23
-18, -17, +14
+7, +23, -5
+11, +10, -27
-29, +4, +6
-27, +20, +25
-22, -4, +15
+4, -10, +26
+14, +4, -21
+7, -21, -27
-4, +14, -11
+16, +19, -2
-4, +16, -14
+25, +8, -3
-25, -24, -14
-22, -23, +6
+27, -5, +14
+18, -6, -2
+14, +18, +15
-8, -13, +23
+24, -30, -6
-5, +12, -28
+7, -14, +3
-16, -15, -11
-23, -12, +15
-8, +9, +4
-1, +17, -16
-18, -4, -22
+6, +30, +3
-20, +23, +9
-26, +6, -15
-27, -15, +28
+24, +13, -15
-21, +16, -8
+23, +26, +19
-14, -22, -8
+29, +6, +22
+1, +12, +11
-24, -21, +7
+24, -25, +29
+5, +8, +20
-7, -23, -17
+21, +6, +14
+9, -12, -2
+2, +11, +3
-11, +25, -8
+20, -2, +12
-30, -18, -28
+19, -7, -9
+17, +1, +20
+18, +13, +11
-17, -21, +25
+26, -6, +16
+26, +11, +5
+2, -9, -16
+1, -28, +2
+11, -23, +7
+21, -25, -14
-13, -15, -21
-22, +11, +10
+7, +11, -1
-19, -6, -13
-3, -30, -12
-11, -17, -26
+24, +8, -14
-7, -25, -14
-5, -18, +13
+3, +30, -21
-12, +3, +18
+24, +28, +6
+18, +11, +28
-27, +24, +25
-21, +23, +7
-27, +11, -8
-8, -1, -7
-18, +16, -25
+29, -6, -28
-15, +30, +23
+13, +19, +15
-13, -16, +21
-29, +9, -5
+4, +25, +29
+19, -24, +25
+15, +2, +1
-12, +9, +10
+4, +24, -10
+13, +5, +15
+12, +6, +7
+18, +4, -6
+2, +6, +12
+3, +8, -19
-23, -13, -4
+3, -1, +16
+25, +12, -11
-24, -25, +16
+15, +12, -28
-24, -6, -20
-18, -6, +11
-30, +26, +23
+14, +11, +27
-12, -4, +10
-30, -9, +18
-27, -15, +11
-9, +28, +22
-21, +6, +25
-5, +10, -27
-18, -13, -19
-17, -27, -3
-14, +3, -19
-28, -11, +25
+2, +17, -29
-2, -20, +5
-16, +24, -18
-14, +5, -12
-15, +24, +19
-30, -17, +26
-30, -16, -12
-24, -18, -12
+20, -1, +14
+7, -13, +25
+30, +16, -23
-18, -17, +14
+7, +23, -5
+11, +10, -27
-29, +4, +6
-27, +20, +25
-22, -4, +15
+4, -10, +26
+14, +4, -21
+7, -21, -27
-4, +14, -11
+16, +19, -2
-4, +16, -14
+25, +8, -3
-25, -24, -14
-22, -23, +6
+27, -5, +14
+18, -6, -2
+14, +18, +15
-8, -13, +23
+24, -30, -6
-5, +12, -28
+7, -14, +3
-16, -15, -11
-23, -12, +15
-8, +9, +4
-1, +17, -16
-18, -4, -22
+6, +30, +3
-20, +23, +9
-26, +6, -15
-27, -15, +28
+24, +13, -15
-21, +16, -8
+23, +26, +19
-14, -22, -8
+29, +6, +22
+1, +12, +11
-24, -21, +7
+24, -25, +29
+5, +8, +20
-7, -23, -17
+21, +6, +14
+9, -12, -2
+2, +11, +3
-11, +25, -8
+20, -2, +12
-30, -18, -28
+19, -7, -9
+17, +1, +20
+18, +13, +11
-17, -21, +25
+26, -6, +16
+26, +11, +5
+2, -9, -16
+1, -28, +2
+11, -23, +7
+21, -25, -14
-13, -15, -21
-22, +11, +10
+7, +11, -1
-19, -6, -13
-3, -30, -12
-11, -17, -26
+24, +8, -14
-7, -25, -14
-5, -18, +13
